Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,00087646177798369","-0,000666037696864019","0,031664094485269",0,0,0,"0,147437521552329","0,000220750588099686","-1,23571712720822E-05","-6,14846898697342E-06","0,000234866801476947","-3,54167453216791E-06","0,000309365112775075",0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/base_link.STL,,12. base_link novo-1;02. Anel Waist_link-1,SisCor Origem,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Waist_link,"-0,0126076694533326","-0,000689380792902039","0,0204053156523547",0,0,0,"0,114312272512185","7,49456466319285E-05","2,03547014827782E-06","3,56026772195907E-06","5,85772537776655E-05","7,34921578174754E-06","7,44043522984639E-05",0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Waist_link.STL,"0,909803921568627","0,443137254901961","0,0313725490196078",1,0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Waist_link.STL,,03. Waist_link-1;00. Servo Motor MG996R-2,SisCor Waist,Ex Waist,Waist_joint,revolute,"-0,000259671681992469","-0,000150235207236449","0,0823428680948093",0,0,0,base_link,0,0,1,1,3,"-1,57","1,57",,,1,1,,,,
Shoulder_link,"-1,12699378884695E-07","0,0600135170515186","0,00480459549380953",0,0,0,"0,0683063019704733","0,000111335443757718","1,95406982991132E-10","6,26284330025505E-11","9,8904142031978E-06","-1,38128948630973E-08","0,000116571269127681",0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Shoulder_link.STL,"0,909803921568627","0,447058823529412","0,0431372549019608",1,0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Shoulder_link.STL,,05. Shoulder_link-1,"SisCor Shoulder ",Ex Shoulder,Shoulder_joint,revolute,"0,00470000000000013","-0,01391","0,04028","1,5707963267949","-0,559711205792866","1,5707963267949",Waist_link,0,0,-1,1,3,"-1,31","2,5",,,,,,,,
Elbow_link,"0,0372339966020792","-0,000153388549344935","-0,0225966011480271",0,0,0,"0,0997434531792724","1,82152643959348E-05","-8,22834557159189E-08","8,93207749203279E-07","7,00051104091517E-05","-3,94275296036256E-07","7,04725994928129E-05",0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Elbow_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Elbow_link.STL,,06. Anel Elbow_link-1;07. Elbow_link-1;00. Servo Motor MG996R-3;00. Servo Motor Micro 9g-2,SisCor Elbow,Ex Elbow,Elbow_joint,revolute,0,"0,12",0,0,0,"-0,559711205792866",Shoulder_link,0,0,-1,1,3,-4,"0,12",,,,,,,,
Wrist_1_link,"0,0161871276330827","0,00390939379161465","-0,00136417027306396",0,0,0,"0,0364225917173961","7,13265650387566E-06","4,93590929786618E-07","4,25310436241101E-07","1,27034365535432E-05","2,94918004449326E-08","1,15416613393067E-05",0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Wrist_1_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Wrist_1_link.STL,,08. Wrist_link_1-1;00. Servo Motor Micro 9g-1,SisCor Wirst1,Ex Wrist 1,Wrist_1_joint,revolute,"0,0944000000000002","-0,00500000000000012","-0,015",0,0,0,Elbow_link,-1,0,0,1,3,"-1,57","1,57",,,,,,,,
Wrist_2_link,"0,016853192653376","0,000122222985653231","-0,00156810835529167",0,0,0,"0,0139246019270835","1,16538358935657E-06","-9,29033431222664E-09","-5,11080871543681E-08","1,11291360778586E-06","9,89135170487406E-09","1,89566093244877E-06",0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Wrist_2_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Wrist_2_link.STL,,09. Wrist_link_2-2;00. Servo Motor Micro 9g-4,SisCor Wrist 2,Ex Wrist 2,Wrist_2_joint,revolute,"0,0208399325599606","0,00340387650924096","0,00127964919234356",0,0,0,Wrist_1_link,0,0,-1,1,3,"-1,57","1,57",,,,,,,,
Effector_link,"-1,38777878078145E-17",0,"0,00447696690039018",0,0,0,"0,0031625371291834","7,97466929903455E-08","5,36752056449203E-08","-2,96127412679136E-22","2,44725901270338E-07","-6,76166722220828E-23","2,74337631305091E-07",0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Effector_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Effector_link.STL,,13. Suporte gripper-1,SisCor Effector,"Ex Effector ",Effector_joint,revolute,"0,0408435294675011","-0,00511048363110778","-0,00140782639546167",0,"1,5707963267949",0,Wrist_2_link,0,0,1,1,3,"-1,57","1,57",,,,,,,,
Gripper_link,"-0,00088698","0,00033642","-0,030847",0,0,0,"0,033862","8,106E-06","6,2933E-07","-3,8004E-07","1,0049E-05","3,683E-07","8,2926E-06",0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Gripper_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Gripper_link.STL,,15. Gripper 1-1;16. Gripper 2-1,SisCor Gripper,Ex Gripper,Gripper_joint,fixed,"0,00183892898171046","0,0033471615706876","0,0551499896883964",0,0,0,Effector_link,0,0,0,,,,,,,,,,,,
Right_Claw_link,"0,0024357","2,1792E-09","0,0060195",0,0,0,"0,004589","4,3212E-07","-6,2423E-14","5,8852E-09","2,305E-07","-4,2132E-15","5,9215E-07",0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Right_Claw_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Right_Claw_link.STL,,17. Gripper 3-1,SisCor Right Claw,Ex Claw,Right_Claw_joint,prismatic,"-0,022397","0,0063323",0,"0,28843","1,5708",0,Gripper_link,0,0,-1,0,0,0,"0,025",,,,,,,,
Left_Claw_link,"-2,1792E-09","-0,0024357","0,0060195",0,0,0,"0,004589","2,305E-07","-6,2423E-14","4,2132E-15","4,3212E-07","-5,8852E-09","5,9215E-07",0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Left_Claw_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://sw2urdf_drago.2/meshes/Left_Claw_link.STL,,18. Gripper 4-1,SisCor Left Claw,Ex Claw,Left_Claw_joint,prismatic,"0,020744","-0,0064678",0,"1,5708",0,"-1,8592",Gripper_link,0,0,1,0,0,0,"0,025",,,,,,,,
